,FeatureNames,DataTypes,NullValues,NumDistinctValues,UniqueValues
0,Brand,object,0,8,['ASUS' 'Lenovo' 'acer' 'Avita' 'HP' 'DELL' 'MSI' 'APPLE']
1,Processor_brand,object,0,3,['Intel' 'AMD' 'M1']
2,Processor_name,object,0,11,"['Core i3' 'Core i5' 'Celeron Dual' 'Ryzen 5' 'Core i7' 'Core i9' 'M1'
 'Pentium Quad' 'Ryzen 3' 'Ryzen 7' 'Ryzen 9']"
3,Processor_gnrtn,object,0,8,['10th' 'Not Available' '11th' '7th' '8th' '9th' '4th' '12th']
4,Ram_gb,int64,0,4,[ 4  8 16 32]
5,Ram_type,object,0,6,['DDR4' 'LPDDR4' 'LPDDR4X' 'DDR5' 'DDR3' 'LPDDR3']
6,Ssd,int64,0,6,[ 512  256  128 1024 2048 3072]
7,Hdd,int64,0,4,[1024    0  512 2048]
8,Os,object,0,3,['Windows' 'DOS' 'Mac']
9,Os_bit,int64,0,2,[64 32]
10,Graphic_card_gb,int64,0,5,[0 2 4 6 8]
11,Weight,object,0,3,['Casual' 'ThinNlight' 'Gaming']
12,Warranty,int64,0,3,[1 2 3]
13,Touchscreen,object,0,2,['No' 'Yes']
14,Msoffice,object,0,2,['No' 'Yes']
15,Price,int64,0,405,"[ 34649  38999  39999  69990  26990  22990  21990  58799  49999  59990
  93700  72990  17490  35990  56490  65390  31999  32490  31799  29890
  23990  32955  46200  34429  37990  33980  39990  39490  53990  38990
  37890  41990  45990  42490  36990  38940  42990  49990  41490  38490
  44990  36490  38970  44900  44427  40200  40990  71999  41998  39998
  48490  44376  43900  46690  43990  48500  48990  23490  54238  51990
  43970  54990  41250  60790  45650  45490  38799  69267  51649  47990
  44890  50990  48900  41790  57999  45930  55490  32890  42190  43690
  43800  34990  38900  40890  39790  35590  33990  43400  24990  40750
  43000  38000  49279  41500  36999  42900  21490  41480  32990  38680
  40390  20490  44490  41890  43590  44690  41390  44290  48999  46390
  18990  17990  26470  27990  29999  25990  16990 119990  94190 106167
  68090 139990  55990 102551  46990  76012  49490  86867  81998 136590
  59490  49800  61999  52990  67990  57990  62300  61990  63990  65990
  71990  76990  89990  71890  64990  55999  73490  74490  58340  82990
  64190  70090  97990  66999  60990  59999  79990  69490  89390  74990
  66490  89702  70990  58990  57500  56541  61290  84990  72500  87990
  68990  77990 105990 111890  71090  53400  74500 114990 159990 172090
 147000 106490 111999  70798  99500  62998  88990 113590  73990  61000
  99990  70799  53690  53190  58999  82000  89998  69899  76300  72900
  73519 126000 114999 109999 129999 149990  71290  79500  70980  94000
  85990  86990  91999  78900 132790  65556  70190  79590  86999  78000
  73063 100990  75990  84086 179990  84500  74190 155411 125394  52490
  56990  58090  61597  81990  61249  83990 291190 145990  46790  44599
  72964  48790  56491  62490  60190  54490  55790  69900  74590  77900
  67490  74999  68900  71695  62317 207290  93190  94990 102990 104000
  90190  88488 109990 239759  78990 121890  92000 162990 135300 174527
 162299 109190  99999 104990 244801  86000 162399 119599 211753 110999
  66990 134990  98990 144690 194990 124990 122410 154990 122990 224990
 279990 121990 116990 151098 129990 149999 171990  93955 234990 128500
 120980 157249 229900 131500 165990 167990 165000  62990 136990 233990
  93990 116941  82500  98912  92990 169990 192990 299990 269990 265998
 441990 109590 146490 112990 132990 125990 103990 101990 131990 128990
 184990 225990 243990 309990  58100  30990  36000  30780  33690  40590
  34500  43490  42090  37390  52632  32917  41999  44390  49970  47490
  67500  62450  98020  49890  73999  76190  74798  68100  55090  91990
  84208  53490  76498  98920  52380  52500  75999  80990  59900  54590
  75500  51890  57900  81978  68500  80000  75100 106990  81490  84988
  90990  72400 111990 109000  78988  73138  89570  73400  84190  95990
 130990  77988  76000 111000  84970  80490 135990 199990 146990 141990
 142990 130500 138990 144990  57490]"
16,Rating,int64,0,5,[2 3 4 5 1]
17,Number of ratings,int64,0,282,"[    3    65     8     0    31  1946   259   425  1120   286    58     7
 15279   311    47    37  2080  1479    67   273  1267    14   284    44
    33    10   816   543     9  1178   299    20   758   634     4    17
    24  1753   216  1084    19   106    42  1029    53    48    61    97
   181   529  5205  1090     1    70   632    71   990   158   681   130
    30     6   174    40    13   184  1296   571  2551    35   118   245
  2058   117    74    39    29    43   984   523  1605  4008  1869  1278
   143    28  2124   276   250  1917  4999  4203    15   527   103   324
    69    16    12  1146  1850   231   502  1096   313   265    38   818
    25   974    83   637   207   844    62   724    56   170    95   197
  1180   232   596    84   414 10966  1881    23  4428   129   365   116
   206   300   108  3712   825    85   155    91   126    75   124  1597
  3850     5   213    93    11   262    45  1681  1625   282   677    46
    26  1541    72    59   337    76   138   199    32   814   125   714
    21   739   145  1124    98   474   195     2    22   512  1365   368
   202   187   253   470  1444  1114    78    73   715  3062   122    18
  1188    27   157    52   343   131    41   328   353   127   241   898
   179   114   268   153   377   120   484    77  1639   498   445    54
   794  2038   214   342   218  6725   640   399   809   465   102  4741
  2736  2214  2886    34   137   163   267  7291   409  3524   939   649
  4740   162   219   193   562    92   469  1978  1049   196   172    86
   104    90   183   358    88   364   826  1410   741   349   519  1480
   271    49   861   165   698   144  1810  1067   530   105   191   134
   198    57   272   141   194   204]"
18,Number of reviews,int64,0,135,"[   0    5    1    3  240   47   67  196   19    6 1947   27    7  235
  181   30  171   39    4   36  147   65  137   41   64    2  165   21
  160   13  107   11  561   96    9   92    8  108   18   59   12   29
  126   56  297   17   34  305   99   66  215  519  234  135   15  233
   40  189  490   46   10   45  175  216   26   93  116   35  113  170
   91   16  103   25  148   23   54 1185  241  109  569   24  412   95
   20  228  378   31  227  152   87  123   14  112   71  100   37   85
   48  118   28  179  106  325  127   51  128   53  230   49   83  313
  629   70   89  658  350  375   33   42  895   58  432   84  532   80
  188  134   52  203   69  151   74  145   22]"
